season,stateoc,agecat,osh,rcu,pi
2,LA,4,0,913,125
2,LA,4,1,1792,92
2,LA,5,0,3470,728
2,LA,5,1,6772,400
2,MA,1,0,31,2
2,MA,1,1,2,1
2,MA,2,0,13,2
2,MA,2,1,6,1
2,MA,3,0,345,73
2,MA,3,1,373,23
2,MA,4,0,1097,237
2,MA,4,1,1385,53
2,MA,5,0,6130,1523
2,MA,5,1,11144,1033
2,MD,1,0,18,1
2,MD,1,1,16,4
2,MD,2,0,13,0
2,MD,2,1,12,0
2,MD,3,0,311,73
2,MD,3,1,498,39
2,MD,4,0,1005,237
2,MD,4,1,1473,49
2,MD,5,0,4174,1005
2,MD,5,1,8960,642
2,ME,1,0,4,0
2,ME,1,1,2,0
2,ME,2,0,2,1
2,ME,2,1,0,0
2,ME,3,0,51,11
2,ME,3,1,122,3
2,ME,4,0,247,34
2,ME,4,1,355,12
2,ME,5,0,1336,331
2,ME,5,1,2437,201
2,MI,1,0,45,1
2,MI,1,1,26,8
2,MI,2,0,22,6
2,MI,2,1,25,4
2,MI,3,0,594,103
2,MI,3,1,848,47
2,MI,4,0,2066,371
2,MI,4,1,3077,115
2,MI,5,0,9693,2102
2,MI,5,1,17873,1259
2,MN,1,0,36,6
2,MN,1,1,11,3
2,MN,2,0,11,1
2,MN,2,1,13,3
2,MN,3,0,191,35
2,MN,3,1,311,23
2,MN,4,0,716,116
2,MN,4,1,1058,59
2,MN,5,0,3537,738
2,MN,5,1,8652,838
2,MO,1,0,42,3
2,MO,1,1,26,4
2,MO,2,0,28,6
2,MO,2,1,10,1
2,MO,3,0,397,65
2,MO,3,1,618,27
2,MO,4,0,1290,243
2,MO,4,1,1981,89
2,MO,5,0,5992,1390
2,MO,5,1,11727,877
2,MS,1,0,16,1
2,MS,1,1,15,1
2,MS,2,0,10,2
2,MS,2,1,8,1
2,MS,3,0,322,53
2,MS,3,1,554,6
2,MS,4,0,953,124
2,MS,4,1,1324,26
2,MS,5,0,3720,767
2,MS,5,1,5110,170
2,MT,1,0,3,0
2,MT,1,1,3,0
2,MT,2,0,1,0
2,MT,2,1,4,0
2,MT,3,0,44,7
2,MT,3,1,76,2
2,MT,4,0,154,22
2,MT,4,1,269,10
2,MT,5,0,776,156
